Sentiment,Sentence,Clean sentences
59,-1,Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .,net sales decreased eur 916 mn eur 109mn corresponding period 2005
60,1,Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .,acquisition solteq expand solutions offering microsoft dynamics business software products
61,0,"The Group 's consolidated net sales for 2009 totaled 1.5 billion euros and it employs approximately 10,000 persons .",group consolidated net sales 2009 totaled 15 billion euros employs approximately 10000 persons
62,0,The building will house product development and test laboratories .,building house product development test laboratories
63,1,"Talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 .",talentum expects net sales core business increase 2008 compared 2007
64,0,The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .,net sales healthcare trade business 2009 eur 1451 million eur 1552 million operating profit eur 89 million eur 79 million
65,0,The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,board directors also proposed dividend eur0 20 per outstanding share paid
66,0,"A maximum of 20 employees , who work in Karttakeskus and are responsible for producing Geographic Information Services , will be affected , the company added .",maximum 20 employees work karttakeskus responsible producing geographic information services affected company added
67,-1,"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .",profit period totalled eur 08 mn eur 11 mn corresponding period 2008
68,1,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",augustoctober 2010 company result taxes totalled eur 96 mn eur 05 mn corresponding period 2009
69,1,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",operating profit net sales 12month period increased respectively eur20 8 eur177 7 compared financial year 2004
70,1,16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .,16 february 2011 finnish industrial machinery company metso oyj hel meo1v said today deliver minerals processing equipment basic engineering canadian miner northland resources osl naur tse nau
71,0,Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,pharmaceutical market italy global research data services published recently market analysis pharmaceutical markets italy
72,-1,The recent troubles simply make NETeller cheaper .,recent troubles simply make neteller cheaper
73,1,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,1 february 2011 finnish textile clothing company marimekko oyj hel mmo1v said today preliminary operating profit grew eur8 2 2010 eur6 3 2009
74,0,"From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth .",2003 emphasis kyro strategy glaston growth
75,1,The optimization of the steel components heating process will reduce the energy consumption .,optimization steel components heating process reduce energy consumption
76,-1,"Exports of goods fell by 59 % , and imports by 16.7 % .",exports goods fell 59 imports 167
77,1,"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .",teleste acquisition marks entry services business market long established significant supplier products
78,-1,"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",operating profit fell eur 354 mn eur 688 mn 2007 including vessel sales gain eur 123 mn
79,1,The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010 .,parties agreed negotiate definitive distribution license agreements end june 2010
80,-1,EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,emsa deputy chairman board juri lember told bns wednesday first time heard strike swedish side informed estonian union yet
81,0,"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx .",2006 452 million tonnes co2 eua eu allowance emissions credit eu traded underlying market value approx
82,-1,Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007 .,operating profit excluding nonrecurring items totaled eur 54 mn compared eur 55 mn corresponding period 2007
83,0,"F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .",fsecure reported first half 2008 seen growing number targeted malware attacks individuals companies organizations
84,1,"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .",arvo vuorenmaa loviisa plant general manager said application new licence standard procedure quite confident approval granted
85,0,"According to Scanfil 's President Harri Takanen , Scanfil 's investment activity proceeded according to the strategy on several fronts in 2010 .",according scanfil president harri takanen scanfil investment activity proceeded according strategy several fronts 2010
86,-1,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",profit period eur 109 mn eur 143 mn 2009
87,-1,"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",operating profit totalled eur 96 mn eur 420 mn year
88,1,"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .",longstanding partnership commitment enable parties develop respective operations esl shipping also opportunity update fleet improve efficiency
89,0,This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .,corrensponds 4628 percent okmetic share capital voting rights
90,-1,"Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % .",compared ftse 100 index rose 367 points 06 day relative price change 02
91,0,RL-Nordic is a part of Raiffeisen-Banking-Group Austria and is a subsidiary to Raiffeisen-Leasing GmbH in Austria .,rlnordic part raiffeisenbankinggroup austria subsidiary raiffeisenleasing gmbh austria
92,0,To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .,raise consumer awareness encourage people recycle old mobile devices nokia runs regular recycling campaigns around world
93,0,"mr Bakman sees also expansion options on the Tallinn-Helisnki link , claiming however , that operating the link with only a single ship is not enough .",mr bakman sees also expansion options tallinnhelisnki link claiming however operating link single ship enough
94,-1,Korhonen was dismissed from her post of editor in chief of the group 's newspaper Lapin Kansa in December 2008 .,korhonen dismissed post editor chief group newspaper lapin kansa december 2008
95,0,Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories .,rapala vmc corporation rapala finlandbased company engaged manufacture distribution fishing equipment accessories
96,1,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,acquisition considerably increase kemira sales market position russian metal industry coatings market
97,0,The value of the deal was not disclosed .,value deal disclosed
98,0,"While I cant understand what theyre saying , its impressive to watch him hit that ball at those speeds .",understand saying impressive watch hit ball speeds
99,0,"According to latest information , Benefon will launch its Twig device on 20 September 2006 .",according latest information benefon launch twig device 20 september 2006
100,0,Technopolis said before the protocol was signed that the techno-park would be built at a site covering more than six hectares in the Neudorf special economic zone and that it planned to invest 200 million euros in the project until 2009 inclusive .,technopolis said protocol signed technopark would built site covering six hectares neudorf special economic zone planned invest 200 million euros project 2009 inclusive
101,-1,"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",antti orkola president kemira growhow industrial solutions unit told thomson financial news company put opening mine prices phosphate quite depressed long time
102,1,"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .",company scheduled traffic measured revenue passenger kilometres rpk grew 2 nearly 3 passengers carried scheduled flights february 2009
103,-1,"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",reporting period eps stood eur0 07 versus eur0 11
104,-1,Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,pretax profit decreased 37 eur 1931 mn eur 3056 mn
105,-1,More than a third of the original participants dropped out due to nausea and other side effects .,third original participants dropped due nausea side effects
106,-1,Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,operating profit decreased eur 16mn eur 211 mn 2008
107,-1,"In addition , the company will reduce a maximum of ten jobs .",addition company reduce maximum ten jobs
108,0,"Member of the HK Ruokatalo Group in Finland , Scan , is launching a joint venture slaughterhouse with Team Ugglarp in Sk+_ne , southern Sweden .",member hk ruokatalo group finland scan launching joint venture slaughterhouse team ugglarp skne southern sweden
109,-1,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",paper companies negative territories stora enso r shedding 162 pct 1273 eur upmkymmene 080 pct 1864 eur mreal b 018 pct lower 557 eur
110,-1,"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",finnish suominen corporation makes wet wipes nonwovens flexible packaging starting employeremployee negotiations tampere plant finland lay 25 employees
111,1,It delivers a different user experience and enables us to widen the market we can address . '',delivers different user experience enables us widen market address
112,-1,"More than 14,000 customers were left powerless .",14000 customers left powerless
113,1,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .,extremely delighted project continuation cooperation viking line
114,0,"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena .",srv also build aqua park wellness area restaurant multifunctional ice arena
115,-1,Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,earnings per share eps amounted loss eur0 06
116,1,Exports grew 16.5 percent to 19.1 million liters .,exports grew 165 percent 191 million liters
117,-1,"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",adpnews oct 21 2009 finlandbased consultancy tieto oyj hel tie1v said today net profit plunged eur 294 million usd 439 first nine months 2009 eur 587 million period
118,-1,"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",finnair tallinnbased subsidiary aero carried 23335 passengers decline 608 routes helsinki baltic capitals within southern finland
119,0,The presentation material can be viewed on the company 's website in English after the conference .,presentation material viewed company website english conference
120,0,`` I see my new post as an inspiring challenge .,see new post inspiring challenge
121,-1,It is the most awkward thing to use if you 're holding the phone with one hand .,awkward thing use holding phone one hand
122,-1,"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",yit baltic sales first three quarters 2008 totaled 1062 million euros representing drop 29 percent year year
123,-1,Most of the layoffs will be in Finland .,layoffs finland
124,-1,Rivals say Qualcomm has fewer patents on 3G phones than on earlier versions and should lower its rates .,rivals say qualcomm fewer patents 3g phones earlier versions lower rates
125,0,The incident happened at 2:30 p.m. on Avenue 192 at Road 196 .,incident happened 230 pm avenue 192 road 196
126,1,"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .",recovery evident liquid handling business particularly areas outside europe primarily north america asia
127,1,"`` We are delighted to welcome Elisa to our Board of Directors , '' said Garry McGuire , CEO of RMG Networks .",delighted welcome elisa board directors said garry mcguire ceo rmg networks
128,1,"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",2006 kone received order aker yards supply 43 customised elevators first genesis cruise ship scheduled completed 2009
129,-1,Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,operating profit continuing operations fell eur 483 mn eur 724 mn first half 2007
130,1,"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",net interest income eur 1522 mn eur 1010 mn 2008
131,-1,"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .",baltic states company reports net sales eur 119 mn eur 142 mn operative ebit eur 22 mn eur 17 mn
132,-1,Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .,net sales decreased eur 916 mn eur 109mn corresponding period 2005
133,1,That would be an increase from estimated sales of 117 million last year .,would increase estimated sales 117 million last year
134,1,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",4 february 2011 finnish broadband data communication systems provider teleste oyj hel tlt1v saw net profit jump eur2 1 last quarter 2010 eur995 000 period 2009
135,-1,"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",januarynovember 2009 group sales totalled eur 78017 mn drop 126 period 2008
136,1,"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",global sports equipment maker amer sports corp whose brands include atomic salomon wilson saw 64 percent increase thirdquarter net profit euro 474 million 65 million strong sales cost cuts
137,1,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,agreement strengthens longterm partnership nokia siemens networks
138,1,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",filippova trilateral agreement investment construction technology park st petersburg signed course forum days russian economy opened helsinki today
139,1,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .,finlan listed food industry company hkscan group controlled companies baltics improved revenues eur 35 mn eur 1604 mn 2010 eur 1569 mn year
140,0,"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn .",apriljune 2008 scanfil net sales totalled eur 587 mn operating profit eur 66 mn
141,-1,"have notified that as a result of the Company issuing 14,432,000 new shares in the directed offering , the joint holdings of Pequot has decreased below 1-10 to 9.63 % of total number of shares and votes in the Company .",notified result company issuing 14432000 new shares directed offering joint holdings pequot decreased 110 963 total number shares votes company
142,0,The companies aim to close the deal before the end of the year .,companies aim close deal end year
143,0,The EA Reng group posted sales of approximately 84 million kroons for 2007 .,ea reng group posted sales approximately 84 million kroons 2007
144,-1,Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,swedbank shares hardest hit swedish banks ongoing international financial crisis
145,-1,"Most of the permanent layoffs will be in the plywood and sawn timber sectors of the Finnish company 's operations at several domestic mills , where earlier this year it temporarily laid off some 1,200 workers to save costs .",permanent layoffs plywood sawn timber sectors finnish company operations several domestic mills earlier year temporarily laid 1200 workers save costs
146,1,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",sales department store division hobby hall increased 7 sales clothing store subsidiary seppala decreased 4
147,0,"Blyk is launching first in the UK market in mid-2007 , with other markets to follow .",blyk launching first uk market mid2007 markets follow
148,1,"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",cooper sh uk distributor lift equipment manufacturer konecranes fiveyear deal involves low maintenance fuel saving technologies
149,0,"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .",yit corporation sept 24 2007 1330 corporate release stock exchange release yit capital markets day london sept 26 2007 wednesday september 26 2007 yit hold capital markets day investors analysts london
150,-1,The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,seawind en route finnish port turku stockholm got stuck ice already around 4 pm wednesday regal star journey swedish port kapellskar paldiski northwestern estonia cut short 2 thursday
151,1,"The original name Componenta +_m+_l , as a subsidiary of the Finnish Componenta Group , has been changed to +_m+_l Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .",original name componenta ml subsidiary finnish componenta group changed ml components company seen 63 growth q1 2010 comparison q1 2009
152,0,The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .,fair value capman plc investments 30 september 2008 amounted meur 598
153,-1,"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",net sales financial year 2006 expected amount eur20m operating result ebit expected loss announced
154,0,The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system .,company also equipped sculptural complex rabochy kolkhoznitsa worker collective farmer moscow snow melting system
155,1,"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",intel atom processor tremendous success marketplace since launch 2 years ago said pankaj kedia director global ecosystem programs intel corp ultra mobility group
156,0,The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .,line 4 run fully underground comprise 10 stations executed two implementation stages
157,0,"Through the new production lines at the Novator mill in Veliky Ustjug , Vologda Oblast , Sveza will change its current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market .",new production lines novator mill veliky ustjug vologda oblast sveza change current 15 15 birch plywood production targeting domestic market produce 15 30 overlaid birch plywood global market
158,0,"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .",contractor shopping center china state construction engineering corporation previously built eg airports hotels factories large international customers different parts world
159,0,The fine print is here .,fine print
160,0,"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",share capital alma media corporation business id 19447574is eur 4503151380 divided 75052523 shares
161,-1,"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",operating result 12month period decreased profit eur0 4 turnover decreased eur5 6 compared 2004
162,1,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",operating profit totalled eur 211 mn eur 186 mn 2007 representing 97 net sales
163,0,"According to the report , Elisa 's and DNA 's joint market share of Finland 's telecom market is 59 % .",according report elisa dna joint market share finland telecom market 59
164,0,The parties have therefore agreed to leave Avena out of the deal .,parties therefore agreed leave avena deal
165,1,Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .,finland poyry energy contract advise builders new cogeneration power plant lithuania secondbiggest city kaunas supervise construction process
166,-1,Finnish forest machinery manufacturer Ponsse has issued a profit warning .,finnish forest machinery manufacturer ponsse issued profit warning
