Sentiment,Sentence,Clean sentences
67,-1,"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",finnish vaahto group provides papermaking technology process machinery starting negotiations concerning temporary layoffs 140 employees company plants hollola tampere finland
68,1,"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",profit taxes period eur0 9 eur0 01 last year
69,1,"With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .",extension new contract eight engines plant produce 100 mw said
70,-1,"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",publishing sweden operating loss eur 11 mn q1 2009 compared profit eur 06 mn year ago
71,-1,They are also upset that some of the machinery and work is taken over to Poland .,also upset machinery work taken poland
72,-1,"However , the suspect stole his burgundy Nissan Altima .",however suspect stole burgundy nissan altima
73,-1,As a result some 20 persons will no longer be needed .,result 20 persons longer needed
74,-1,"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",finnish suominen flexible packaging cutting 48 jobs unit tampere two nastola finland
75,-1,"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",operating profit totalled eur 122 mn eur 356 mn first quarter 2008
76,-1,"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",q2 2009 profit taxes amounted eur 136 mn eur 268 mn q2 2008
77,-1,Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,pretax profit decreased eur 338 mn eur 408 mn fourth quarter 2005
78,-1,"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 .",first half 2008 bank operating profit fell eur 118 mn eur 189 mn net interest income increased eur 209 mn eur 188 mn first half 2007
79,-1,The terms of the aforementioned funding are considerably below the Bank 's current CDS levels in the market and have a maturity ranging from 1 to 7.5 years .,terms aforementioned funding considerably bank current cds levels market maturity ranging 1 75 years
80,-1,"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",according company addition normal seasonal fluctuation market situation weakened autumn 2008
81,-1,"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",operating loss totalled eur 52 mn compared loss eur 34 mn corresponding period 20082009
82,-1,"Cash flow after investments amounted to EUR45m , down from EUR46m .",cash flow investments amounted eur45m eur46m
83,-1,It is the most awkward thing to use if you 're holding the phone with one hand .,awkward thing use holding phone one hand
84,-1,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",upmkymmene corp world largest maker magazine paper tuesday reported 19percent profit drop lower paper prices higher costs strong euro hurt revenue
85,-1,"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",biohit said reduce number leased personnel 10 lay 10 personnel
86,1,Componenta 's objective with this agreement is to increase business on its existing production lines .,componenta objective agreement increase business existing production lines
87,-1,"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .",raw materials prices surged past year fueled part rapid industrialization china india developing nations
88,1,CEO Erkki J+Ærvinen is happy with the company 's performance in 2010 .,ceo erkki jrvinen happy company performance 2010
89,-1,The union filed a grievance over the company 's overtime assignment policies .,union filed grievance company overtime assignment policies
90,-1,Sales of mid-strength beer decreased by 40 % .,sales midstrength beer decreased 40
91,-1,The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,seawind en route finnish port turku stockholm got stuck ice already around 4 pm wednesday regal star journey swedish port kapellskar paldiski northwestern estonia cut short 2 thursday
92,1,About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices .,nokia nokia pioneer mobile telecommunications world leading maker mobile devices
93,-1,"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",cerberus capital management lpbacked printing paper maker newpage corp posted mixed secondquarter results casting cloud planned initial public offering
94,1,"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",investors continue interested company share although quite cheap affarsvarlden said
95,-1,"The poorest index figure was given to Finnish power company Fortum , 4.5 .",poorest index figure given finnish power company fortum 45
96,-1,stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .,stores 16 march 2010 finnish stationery gift retailer tiimari hel tii1v said yesterday cut total 28 jobs units tiimari retail ltd gallerix finland ltd result closure shops
97,-1,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,finnish meat company atria longer promise sufficient amount domestic beef customers
98,-1,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",one dark spot horizon however company performance finnish bottled water market
99,1,The Group also has a strong global position in other fishing categories .,group also strong global position fishing categories
100,1,"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",company recorded revenues e658 1 million fiscal year ended december 2007 increase 23 2006
101,1,"HELSINKI AFX - KCI Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",helsinki afx kci konecranes said raised stake mmh holdings inc owner usbased morris materials handling 909 pct 745 pct
102,-1,"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools .",super nasty said eric schultze chief technology officer shavlik technologies llc st paul minnbased maker patch management tools
103,-1,"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland .",number permanent reductions clerical workers 22 employees 19 finland
104,-1,The move was triggered by weak demand for forestry equipment and the uncertain market situation .,move triggered weak demand forestry equipment uncertain market situation
105,-1,"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .",tallink silja attributes significant drop problems booking system taken operation october sale trailer ferry sky wind route stockholm riga passengers helsinkistockholm route
106,-1,Altogether Finnair has canceled over 500 flights because of the strike .,altogether finnair canceled 500 flights strike
107,-1,"- Demand for fireplace products was lower than expected , especially in Germany .",demand fireplace products lower expected especially germany
108,-1,"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",far norwegian norske skog reduced staff levels 1000 people plans reduce production 200000 tons 2008 finnishswedish stora enso cut staff 1700 people production 500000 tons
109,-1,"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland .",number permanent reductions clerical workers 22 employees 19 finland
110,-1,Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,finnish waste management cleaning group lassila tikanoja oyj lt net profit went 322 mln euro 477 mln 2007 353 mln euro 523 mln 2006
111,-1,"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",adpnews aug 3 2009 finnish media group ilkkayhtyma oyj hel ilk2s said today net profit fell 45 year eur 59 million usd 84 first half 2009
112,-1,Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,finnish laboratory liquid handling diagnostic test systems developer biohit oyj omx helsinki biobv issued tuesday 3 june profit warning financial year 2008
113,1,Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,rapala said estimates make savings 12 mln eur year centralising french operations one site
114,-1,"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",tornio works employs 2300 1800 scope fixedperiod parttime temporary layoffs apriloctober period
115,1,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",helsinki eliiv today reported eps eur1 13 2009 increase eps eur1 12 2008
116,-1,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",one dark spot horizon however company performance finnish bottled water market
117,-1,"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",operating profit totaled eur 38 mn eur 45 mn corresponding period 2005
118,-1,"Alma Media 's operating profit amounted to EUR 11.9 mn , down from EUR 15.0 mn a year earlier .",alma media operating profit amounted eur 119 mn eur 150 mn year earlier
119,-1,Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,finnish retail software developer aldata solution oyj reported net loss 117 mln euro 172 mln 2007 versus net profit 25 mln euro 37 mln 2006
120,-1,"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",antti orkola president kemira growhow industrial solutions unit told thomson financial news company put opening mine prices phosphate quite depressed long time
121,-1,Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,finnair said cancellation flights would cause daily losses x20ac 25 million us 3 million
122,1,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,finnish operator elisa aker yards signed longterm service deal elisa deliver necessary voice data services aker yards finland
123,-1,Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,border guard service banned mooring company carshipping ferry test travel railroadcar terminal russian port border checkpoint yet ready
124,-1,The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,net sales whole fiscal year 2008 lower 2007 operating profit estimated negative
125,-1,"In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",finland oppohjola staff union boycotting group insurance sales tasks company refused take sale insurance account determining wages
126,-1,Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,pretax profit decreased 37 eur 1931 mn eur 3056 mn
127,-1,"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",baltic countries sales fell 402 russia 232 terms euros 107 terms local currency
128,-1,"Operating profit for the six-month period decreased from EUR21m , while net sales increased from EUR436 .9 m , as compared to the corresponding period in 2007 .",operating profit sixmonth period decreased eur21m net sales increased eur436 9 compared corresponding period 2007
129,1,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",net sales rose 255 yearonyear eur59 6 number chargers delivered went 41 659 million pieces
130,1,"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",operating profit eur 06 mn loss eur 19mn year earlier
131,1,Efficiency programs totalling 100 million euros are under way in Finnair .,efficiency programs totalling 100 million euros way finnair
132,1,Also Lemmink+Æinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,also lemminkinen profit accounting period went eur 31 mn eur 245 mn year ago
133,1,"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",lead production turn increase 60000 tonnes 2009 would twofold increase current capacity levels zahariev said
134,1,"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''",employees also better prepared answer calls since already detailed information caller answer phone
135,-1,"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",operating profit eur 01 mn eur 13 mn
136,-1,The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .,finnish daily kauppalehti surmises finnish supplier rautaruukki raised prices aker comfort zone
137,1,"The transaction will have a positive impact of around EUR2m on earnings , which Ruukki will recognize during the fourth quarter of this year .",transaction positive impact around eur2m earnings ruukki recognize fourth quarter year
138,1,European traffic grew nearly 30 % .,european traffic grew nearly 30
139,-1,The measures result from decreased demand in technical design and product information .,measures result decreased demand technical design product information
140,-1,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",finnish solutions provider affecto oyj hel afe1v said today slipped net loss eur 115000 usd 152000 second quarter 2010 profit eur 845000 corresponding period year earlier
141,-1,L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,lt net profit whole 2010 dropped eur 36 million eur 45 million 2009
142,-1,"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .",tallink silja attributes significant drop problems booking system taken operation october sale trailer ferry sky wind route stockholm riga passengers helsinkistockholm route
143,-1,"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",finnish plumbing heating systems supplier uponor net sales continuing operations decreased 94 2008 eur 9492 mn eur 10474 mn 2007
144,-1,"Most of the permanent layoffs will be in the plywood and sawn timber sectors of the Finnish company 's operations at several domestic mills , where earlier this year it temporarily laid off some 1,200 workers to save costs .",permanent layoffs plywood sawn timber sectors finnish company operations several domestic mills earlier year temporarily laid 1200 workers save costs
145,1,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",finlandbased elcoteq se privately held provider electronics manufacturing services communications companies said thursday signed longterm manufacturing supply deal communications equipment company andrew corp
146,-1,"The total headcount reduction will be 50 persons , the company said .",total headcount reduction 50 persons company said
147,-1,"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",result taxes decreased nearly eur 145 mn compared nearly eur 20mn previous accounting period
148,-1,"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",result transactions aggregate holdings burrill life sciences capital fund lp decreased 5 per cent total number shares votes company
149,-1,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,finnish insurance company fennia kesko group ending loyal customer cooperation
150,-1,F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .,fsecure also point logical weakness sequenced numbers card approach apparently already utilised
151,1,"October-December sales were 302 mln eur , or a 25.3 pct increase year on year .",octoberdecember sales 302 mln eur 253 pct increase year year
152,1,"Also , it is bringing in `` the right kind of people '' to upgrade its human resources .",also bringing right kind people upgrade human resources
153,-1,"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",1201 pm omx helsinki 25 066 pct 314357 omx helsinki 067 pct lower 1053074 253 mln eur turnover
154,-1,"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",profitability ebit 136 compared 143 q2 2009
155,-1,"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",lassila tikanoja operating profit excluding nonrecurring imputed items second quarter eur11 3 eur13 8 year ago
156,1,"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",separately yit corporation austrian firm e ag last week signed agreement sale e building system service business germany austria poland czech republic hungary romania eur 55 mln
157,1,"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .",earnings per share januaryjune 2010 eur0 30 increase 20 yearonyear eur0 25
